Organization/Person Name,Description,Organization/Person Name URL,Industry-Specific VC Binary
Wessel Management,Wessel Management is the vehicle for venture capital and other investments made by the family of Rolf Christof Dienst.,https://www.crunchbase.com/organization/wessel-management,0
Catalpa Ventures Family Office,Catalpa Ventures is a family office investing in digital business models w/ focus on Innovative Healthcare,https://www.crunchbase.com/organization/catalpa-ventures,1
Zwei.7,Zwei.7 is a family office and investment company that acquires interests in medium-sized enterprises.,https://www.crunchbase.com/organization/zwei-7,0
Rendered VC,Rendered VC is a multi-stage fund helping companies solve the toughest problems facing the future of 3D.,https://www.crunchbase.com/organization/rendered-vc,1
SEK Ventures,SEK Ventures is a venture capital firm that invests in businesses in technology and healthcare.,https://www.crunchbase.com/organization/sek-ventures,0
Willendorff Technologies,Willendorff provides seed-stage funding to B2B-Technology companies that have the potential to transform their industry.,https://www.crunchbase.com/organization/willendorff-technologies-gmbh,0
Surplus Invest,Surplus Invest is a venture capital firm with a focus on PropTech investments in Europe.,https://www.crunchbase.com/organization/surplus-invest-gmbh,1
M-VC Europe Ltd.,VC boutique with mobile first focus.,https://www.crunchbase.com/organization/m-vc-europe-ltd,0
Square One Foods,Strategic Partner for Food and Beverage startups,https://www.crunchbase.com/organization/square-one-foods,1
COREangels Climate,COREangels Climate is an angel fund that co-invests with top VCs in Southern European start-ups fighting climate change.,https://www.crunchbase.com/organization/coreangels-climate,1
BNV Partners,BNV Partners is a venture capital firm.,https://www.crunchbase.com/organization/bnv-partners,0
BPO Capital,BPO Capital is support ideas with digital potential and ethical demands.,https://www.crunchbase.com/organization/bpo-capital,0
Start-up BW Innovation Fonds,The start-up BW Innovation Fund offers venture capital for innovative,https://www.crunchbase.com/organization/start-up-bw-innovation-fonds,0
B Holding,B Holding is an investment vehicle for innovation in Italy.,https://www.crunchbase.com/organization/b-holding,0
HPI Seed Fund,HPI Seed Fund is an early stage investor for startups.,https://www.crunchbase.com/organization/hpi-seed-fund,0
TGE Capital,Global VC Firm Investing In The Web 3,https://www.crunchbase.com/organization/tge-capital,0
JLR Star,JLR Star is a private investment company that makes seed or early-stage investments in promising businesses.,https://www.crunchbase.com/organization/jlr-star,0
T0 Ventures,"T0 Ventures investment professionals, both private equity and venture capital.",https://www.crunchbase.com/organization/t0-ventures,0
Elephant & Castle Capital,"Elephant & Castle Capital work successfully with startups, entrepreneurs and visionaries.",https://www.crunchbase.com/organization/elephant-castle-capital,0
Allinvest,Allinvest Unternehmensbeteiligungs GmbH was founded to bundle the diverse corporate interests of the Gröller family.,https://www.crunchbase.com/organization/allinvest-unternehmensbeteiligungs-gmbh,0
Entrepreneurs Investment Fund,Entrepreneurs Investment Fund is a venture capital fund that specializes in seed stage companies.,https://www.crunchbase.com/organization/entrepreneurs-investment-fund,0
MA Ventures,Investments in the MA Universe.,https://www.crunchbase.com/organization/ma-ventures,0
Baloise Strategic Ventures,Baloise Strategic Ventures is a seed investor invests in UK and US based Startups.,https://www.crunchbase.com/organization/baloise-strategic-ventures,0
PHW Group,PHW Group German company that produces and markets poultry specialties.,https://www.crunchbase.com/organization/phw-group,0
GPS Ventures,GPS Ventures is a seed investor venture capital.,https://www.crunchbase.com/organization/gps-ventures,0
Affentranger Associates,Affentranger Associates is a business platform focused on the theme of value creation with its core competency in hands-on management.,https://www.crunchbase.com/organization/affentranger-associates,0
Freelands Ventures,"Freelands Ventures is an early stage venture fund investing at the intersection of media, technology and entertainment.",https://www.crunchbase.com/organization/freelands-ventures,1
Amadeus APEX Technology Fund,Amadeus APEX Technology Fund operates as a ventures capital firm.,https://www.crunchbase.com/organization/amadeus-apex-technology-fund,0
Common Magic,Common Magic is a venture capital firm that targets pre-seed and seed building products.,https://www.crunchbase.com/organization/common-magic,0
Blue Bay Ventures,VC in the Security Token industry,https://www.crunchbase.com/organization/blue-bay-ventures-5e64,1
Enpulse,EnPulse Ventures GmbH is a subsidiary of EnBW.,https://www.crunchbase.com/organization/enpulse,0
Octopus Energy generation,Octopus Energy generation is venture capital arm of Octopus Energy.,https://www.crunchbase.com/organization/octopus-energy-generation,0
Croton Capital,Croton Capital is an international business angel syndicate investing in impactful early-stage companies with underrepresented founder teams,https://www.crunchbase.com/organization/croton-capital,1
Pelion Green Future,"Pelion Green Future is an independent investment holding focused on clean energy, technology and climate related solutions.",https://www.crunchbase.com/organization/pelion-green-future,1
4P Capital,4P Capital is a data-driven operator investors and marketers joining impactful pioneers in building pivotal businesses.,https://www.crunchbase.com/organization/4p-capital,0
AspireTech Ventures,"Invest in the exceptional, nurture the transformative, and accelerate the revolutionary",https://www.crunchbase.com/organization/aspiretech-ventures,0
Grey Silo Ventures,Corporate Venture Capital of Cereal Docks Group,https://www.crunchbase.com/organization/grey-silo-ventures,0
Hermann Hauser Investment,"Hermann Hauser investment company invests in start-ups from the DACH region, in the seed and Series A phases.",https://www.crunchbase.com/organization/hermann-hauser-investment,0
Flex Dapps,Flex Dapps is a decentralized pre-IPO & pre-token trading platform.,https://www.crunchbase.com/organization/flex-dapps,1
Verbund X Ventures,Verbund X Ventures is a venture capital firm,https://www.crunchbase.com/organization/verbund-x-ventures,0
Ace Ventures,Ace Ventures is a Start-Up Consulting and Capital Firm.,https://www.crunchbase.com/organization/ace-ventures,0
Bauer Venture,Bauer Venture is a venture capital firm that acts as a strategic investment arm of Bauer Media Group.,https://www.crunchbase.com/organization/bauer-venture-partners-3,0
Gamegroove Capital,"Gamegroove Capital invests in gaming’s most promising new talent, helping them create game-changing titles and services.",https://www.crunchbase.com/organization/gamegroove-capital-167a,1
Skybrain GmbH,Die Verwaltung von Beteiligungen an anderen Unternehmen und Immobilien sowie Verwaltung eigenen Vermögens.,https://www.crunchbase.com/organization/skybrain-gmbh,0
Climate Insiders,Climate Tech investing community that backs the most ambitious Climate moonshots,https://www.crunchbase.com/organization/climate-insiders,1
Die Brückenköpfe,Die Brückenköpfe is a management consulting and investing firm focused on the German healthcare market.,https://www.crunchbase.com/organization/die-brückenköpfe,1
Barmenia Next Strategies,Barmenia Next Strategies is an early-stage venture investor in the InsurTech and HealthTech sectors.,https://www.crunchbase.com/organization/barmenia-next-strategies,1
Peak Capital,Peak Capital operates as a venture capital firm.,https://www.crunchbase.com/organization/peak-capital-5cbf,0
Urania Ventures,Urania Ventures is a French-German private investment company with a global portfolio backing scientific breakthroughs.,https://www.crunchbase.com/organization/urania-ventures,1
Soleria Capital,Soleria Capital is an early-stage venture capital firm investing in Seed to Series A investment rounds in dynamic tech companies.,https://www.crunchbase.com/organization/soleria-capital,0
Torus Capital,We are a group of entrepreneurs who pay forward their own capital and experience to founders of early stage tech companies.,https://www.crunchbase.com/organization/torus-capital,0
Tengelmann Social Ventures,Tengelmann Social Ventures offers support and advice to social entrepreneurs.,https://www.crunchbase.com/organization/tengelmann-social-ventures,1
Front Equity,Front Equity is a privately held investment company with two business units.,https://www.crunchbase.com/organization/front-equity-gmbh,0
Raakwark Kaptaal,Raakwark Kaptaal invest in technology startups in the pre-seed and seed stages.,https://www.crunchbase.com/organization/raakwark-kaptaal,0
WOLFMAN.ONE,WOLFMAN.ONE is a self-financed investment company.,https://www.crunchbase.com/organization/wolfman-holdings,0
JVMO,"JVMO invests in tech-enabled health, wellness, and longevity companies to keep people healthy.",https://www.crunchbase.com/organization/canopei,1
ESB Invest Vorpommern,ESB Invest Vorpommern invests in early-stage for Mecklenburg-Western Pomerania companies.,https://www.crunchbase.com/organization/esb-invest-vorpommern,0
Breakthrough Lab,"Breakthrough Lab is a venture capital fund based in Sydney, Australia.",https://www.crunchbase.com/organization/breakthrough-lab,0
Zimmermann Investments,"Zimmermann Investments focus on seed and early stage investments in the fields of consumer internet, FinTech and technology.",https://www.crunchbase.com/organization/zimmermann-investments,0
Sport Horizon Holding S.p.a.,Sport Tech Investment Company,https://www.crunchbase.com/organization/sport-horizon-holding-s-p-a,1
Technologiefonds OWL,Technologiefonds OWL provides finacing for seed and young startup's.,https://www.crunchbase.com/organization/technologiefonds-owl,0
Menden Ventures Consulting,Menden Ventures Consulting advises and invests in start-ups.,https://www.crunchbase.com/organization/menden-ventures-consulting,0
Shared Future Fund,The Shared Future Fund (SFF) is an unusual venture fund.,https://www.crunchbase.com/organization/shared-future-fund,1
Digitata Capital,"We invest in people, project, and historical inevitability.",https://www.crunchbase.com/organization/digitata-capital,0
OHB Venture Capital,OHB Venture Capital specializes in start-up and early stage investments.,https://www.crunchbase.com/organization/ohb-venture-capital,0
Haas New Media,Haas New Media is the startup investor of the Mannheim-based media group Dr.Haas.,https://www.crunchbase.com/organization/haas-new-media,0
Cumulus Ventures,Cumulus Ventures provides venture capital for early stage and growth phases for companies.,https://www.crunchbase.com/organization/cumulus-ventures,0
XLHEALTH,XLHEALTH is a Venture Capital investor in startups of the IT healthcare industry.,https://www.crunchbase.com/organization/xlhealth-de,1
Vealo Ventures,Vealo Ventures is an investment and holding company.,https://www.crunchbase.com/organization/vealo-ventures,0
Steelhouse Ventures,Steelhouse Ventures is a specialist investment company that invests in the European energy and technology sectors.,https://www.crunchbase.com/organization/steelhouse-ventures,0
Zu na mi,Zu na mi operates as an investment firm.,https://www.crunchbase.com/organization/zu-na-mi,0
Scala Ventures,Scala Ventures provides and participates in growth opportunities in the Digital Media Sector.,https://www.crunchbase.com/organization/scala-ventures,1
M-Investar,"M-Investar is an Isen-based investment firm that funds early-stage companies mainly in Germany, Austria, and Switzerland.",https://www.crunchbase.com/organization/m-investar,0
TopMonks Startup Studio,Startup investment arm of TopMonks,https://www.crunchbase.com/organization/topmonks-startup-studio,0
dimensional Ventures,We are a small private investment company – not a VC fund. Please see below for more details.,https://www.crunchbase.com/organization/dimensional-ventures,0
Founders First Capital Partners,Founders First Capital Partners is a financial services company that offers advisory services.,https://www.crunchbase.com/organization/founders-first-capital,0
CLO Virtual Fashion,CLO Virtual Fashion provides a 3D fashion design software that simulates garments for better visualization in the fashion industry.,https://www.crunchbase.com/organization/clo-virtual-fashion-inc,1
Prediction Capital,Prediction Capital is a pre-seed/seed investment firm primarily investing in ConsumerTech and FinTech in the DACH region,https://www.crunchbase.com/organization/prediction-capital,1
CONDA Crowdinvesting Österreich,CONDA is Full-service Crowdinvesting-Platform to boost up Austrian StartUps,https://www.crunchbase.com/organization/conda,0
LANA Ventures,LANA Ventures is a venture capital firm.,https://www.crunchbase.com/organization/lana-ventures,0
Borusan Ventures,"Borusan boasts eight decades of industrial experience, more than just a business partner it adds value to all of its clients and partners",https://www.crunchbase.com/organization/borusan-ventures,0
Green European Tech Fund,"Green European Tech Fund invests in green tech startups, supporting scalable businesses with transformative technologies.",https://www.crunchbase.com/organization/green-european-tech-fund,1
Forma Prime,Forma Prime is a core technology infrastructure venture capital fund.,https://www.crunchbase.com/organization/forma-prime,0
Visionaries Tomorrow,Supercharging industrial deep tech visionaries to rebuild the world’s largest industries for a brighter future.,https://www.crunchbase.com/organization/tomorrow-vc,1
Aurum Impact,Aurum Impact is an impact investment firm that invests in impact VC funds and impact startups.,https://www.crunchbase.com/organization/aurum-impact,0
Realyze Ventures,Realyze Ventures invest in the brightest European PropTech & ConTech startups.,https://www.crunchbase.com/organization/realyze-ventures,1
Graphit NeoTaste,Graphit NeoTaste is an family investment office.,https://www.crunchbase.com/organization/graphit-neotaste,0
Brose Ventures,Brose Ventures invests in next-generation technologies and business models to shape the future of mobility.,https://www.crunchbase.com/organization/brose-ventures,1
E44 Ventures,Climate-Tech Venture Studio,https://www.crunchbase.com/organization/e44-ventures,1
Mosel Ventures,Mosel Ventures is an investment firm.,https://www.crunchbase.com/organization/mosel-ventures,0
Combination VC,Combination is an early stage venture capital firm that supports the most ambitious product-focused founders with an angel like approach.,https://www.crunchbase.com/organization/combination-vc,0
Aligned Ventures,Aligned Ventures,https://www.crunchbase.com/organization/aligned-ventures,0
Atlas Ventures,Atlas Ventures is a venture capital fund that invests in early-stage technology companies,https://www.crunchbase.com/organization/atlas-ventures-67bb,0
Graphit Lifestyle,Graphit Lifestyle is a family office that invests in the lifestyle sector.,https://www.crunchbase.com/organization/graphit-lifestyle,1
Peppermint Holding,"Peppermint Group is a privately-owned mid-sized industrial holding, that invests in the industrial tech, textiles, and food sectors.",https://www.crunchbase.com/organization/peppermint-financial-partners,1
Picea Capital,Picea Capital is a stage-agnostic Hamburg-based investment firm focused primarily on digital technology opportunities,https://www.crunchbase.com/organization/picea-capital,0
Exxeta Ventures,"We're the operational VC arm of Exxeta AG, backing European early-stage teams building outstanding enterprise software",https://www.crunchbase.com/organization/exxeta-ventures,0
1750 Ventures,1750 Ventures primarily invests in start-ups and InsurTechs that are part of insurance-related ecosystems.,https://www.crunchbase.com/organization/1750-ventures,1
Laureus Capital,"Laureus Capital is a group of entrepreneurs that invests in companies specializing in tech, artificial intelligence, and biotechnology.",https://www.crunchbase.com/organization/laureus-capital,0
ApexMed Ventures,ApexMed Ventures specializes in investing in companies at the forefront of technological innovation and healthcare.,https://www.crunchbase.com/organization/apexmed-ventures,0
Techsoft Invest,Techsoft Invest is an investment and consulting company.,https://www.crunchbase.com/organization/techsoft-invest,0
Bool Capital,"Bool Capital is a private investment firm that builds deep-tech ventures in cloud infrastructure, blockchain, cybersecurity.",https://www.crunchbase.com/organization/bool-capital,1
Apprecia Capital,Apprecia Capital Invest in entrepreneurs who have made significant contributions to society and the environment.,https://www.crunchbase.com/organization/apprecia-capital,1
Savia Ventures,Savia Ventures is a financial services company that provides venture capital and private equity funding for climate technology companies.,https://www.crunchbase.com/organization/savia-ventures,1
REHAU New Ventures,REHAU New Ventures is a Germany-based company builder for the REHAU Group.,https://www.crunchbase.com/organization/rehau-new-ventures,0
Alpha Future Funds,Alpha Future Funds is a multi-stage venture capital investment firm.,https://www.crunchbase.com/organization/alpha-future-funds,0
Imaginal Seeds,Imaginal Seeds,https://www.crunchbase.com/organization/imaginal-seeds,0
Vega Ventures,"Vega Ventures, LLC is a leader and innovator in the next generation of Internet Marketing Concepts.",https://www.crunchbase.com/organization/vega-ventures,0
GC Ventures,GC Ventures funds early stage start-ups in real estate and real estate adjacent industries,https://www.crunchbase.com/organization/gc-ventures-17be,1
Isartal Ventures,"Isartal Ventures is the CVC of the German ""Wort und Bild"" Publishing House. Isartal Ventures invests in Digital Health Start Ups",https://www.crunchbase.com/organization/isartal-ventures,1
Combination Ventures,Combination Ventures is an early stage venture capital firm.,https://www.crunchbase.com/organization/combination-ventures,0
DIGITALHUB.DE,"DIGITALHUB.DE is an accelerator for digital startups with funding, infrastructure and a large network of investors and companies.",https://www.crunchbase.com/organization/digital-hub-bonn,0
GETTYLAB,"GETTYLAB invests in alumni of MIT, Harvard, Stanford, TUM, TUe, ETHZ, EPFL, Polytechnique, Oxford, Cambridge, YC and the IDF.",https://www.crunchbase.com/organization/gettylab,1
NGM Ventures,"New General Market Partners LLC founded by billionaire entrepreneur, Richelieu Dennis.",https://www.crunchbase.com/organization/ngm-ventures,0
Ledger Cathay Capital,Ledger Cathay Capital operates as a corporate venture firm operated by Ledger.,https://www.crunchbase.com/organization/ledger-cathay-capital,0
FOS Capital Partners,Future of Surgery - Investing in Healthcare Technology Innovations,https://www.crunchbase.com/organization/fos-capital-partners,1
BITO CAMPUS,"The BITO CAMPUS stands for innovation, technology, logistics, exchange and cooperation.",https://www.crunchbase.com/organization/bito-campus,0
ELAS Technology Investment,ELAS Technology Investment is a German-based but globally oriented financial investor.,https://www.crunchbase.com/organization/elas-technology-investment,0
Potter Ventures,Potter Ventures is an investment firm.,https://www.crunchbase.com/organization/potter-ventures,0
VX Ventures,VX Ventures is an investment firm.,https://www.crunchbase.com/organization/vx-ventures,0
Moonstone Fund,Moonstone Fund is an investment fund.,https://www.crunchbase.com/organization/moonstone-fund,0
Purpose Ventures,Investing in ambitious founders and for-profit tech startups contributing to solving world challenges from Czech Republic and Slovakia.,https://www.crunchbase.com/organization/purpose-ventures,0
ICOA UG,ICOA is a global investor helping the most ambitious entrepreneurs turn ideas into global businesses.,https://www.crunchbase.com/organization/icoa-ug,0
NeueCapital Partners,NeueCapital Partners is a venture capital firm.,https://www.crunchbase.com/organization/neuecapital-partners,0
ConActivity KG,"ConActivity KG is a management consulting company based in Frankfurt, Hessen, Germany.",https://www.crunchbase.com/organization/conactivity-kg,0
Caesar Business Angels,Caesar Business Angels is an angel investor.,https://www.crunchbase.com/organization/caesar-business-angels,0
Forward31,Forward31 is a venture capital firm.,https://www.crunchbase.com/organization/forward31,0
HT Ventures,HT Ventures is a financial organization. Nothing is publicly known about the organization other than this announcement. If you have more,https://www.crunchbase.com/organization/ht-ventures,0
Moacon Ventures,Moacon Ventures is a holding company of the entrepreneur Mohammadi Akhabach in the Consumer & Marketing sector.,https://www.crunchbase.com/organization/moacon-ventures,1
SpaceTec Capital,SpaceTec Capital invests in various fields where space-related disruptive technologies make a difference in growing multi-billion markets.,https://www.crunchbase.com/organization/spacetec-capital-partners-ag,1
Gobi China,Gobi China is a venture capital institution that manages several early-stage venture capital funds in US dollars and RMB.,https://www.crunchbase.com/organization/gobi-china,0
Elite Startups,Elite Startups specializes in the creation of Internet startups and supports selected companies on their way to success.,https://www.crunchbase.com/organization/elite-startups,0
Manhattan Street Fund,"Manhattan Street invest in companies developing virus tests, treatments, Biotech, Real Estate, and in ground breaking Pre-IPO companies.",https://www.crunchbase.com/organization/manhattan-street-fund,1
Montan-Ventures-Saar,Montan-Ventures-Saar is a venture capital firm.,https://www.crunchbase.com/organization/montan-ventures-saar,0
Next Logistics Accelerator,NLA is a multi-corporate accelerator with a focus on the logistics industry.,https://www.crunchbase.com/organization/next-logistics-accelerator,1
Neuhauss Capital UG,Neuhauss Capital primarily acts as a venture capitalist / investor in the early stages of a startup.,https://www.crunchbase.com/organization/neuhauss-capital-ug,0
Draper Investment Company,Draper Investment Company is a Doha-based venture capital firm specialized in seed and early stage financing solutions.,https://www.crunchbase.com/organization/draper-investment-company-llc,0
Wiser Financial Advisors,A private investment company focusing mainly on early stage and seed investments.,https://www.crunchbase.com/organization/wiser-financial-advisors,0
SmartWare.tech,Hungary-based hardware and IoT focused seed fund,https://www.crunchbase.com/organization/smartware-tech,1
Bacb Beteiligungsgesellschaft,Bacb Beteiligungsgesellschaft offers investments to a wide range of companies.,https://www.crunchbase.com/organization/bacb-beteiligungsgesellschaft,0
Finparx,"Finparx is a venture studio aiming for an outstandingly positive impact on People, Planet and Profit.",https://www.crunchbase.com/organization/finparx,1
Elevation Investments,Captures investment opportunities in the segment of PERSONAL GROWTH,https://www.crunchbase.com/organization/elevation-investments,1
BioM Venture Capital,BioM Venture Capital focuses on seed and early stage investments in biotechnology companies.,https://www.crunchbase.com/organization/biom-venture-capital,1
Zorea Ventures,Zorea ventures is a seed and early stage venture investment fund that was founded in 2013.,https://www.crunchbase.com/organization/zorea-ventures,0
Innova Venture,Innova Venture is a lazio region fund managed by lazio innova invests in lazio companies.,https://www.crunchbase.com/organization/innova-venture,0
identity.vc,Backing LGBTQ+ entrepreneurs.,https://www.crunchbase.com/organization/identity-ventures-f386,1
Maximon,"Maximon empowers entrepreneurs to build impactful, science-based and scalable companies providing healthy aging and rejuvenation solutions.",https://www.crunchbase.com/organization/maximon,1
Earth,Earth is a network of impact-driven entrepreneurs and organizations working to address the climate catastrophe and regenerate the planet.,https://www.crunchbase.com/organization/earth-3375,1
Evoco,Evoco is an innovative Private Equity firm dedicated to creating lasting value for investors and businesses.,https://www.crunchbase.com/organization/evoco-ag,0
Boerse Stuttgart Digital Ventures,Boerse Stuttgart Digital Ventures develops innovative business models for exchange trading OTC trading in fungible products.,https://www.crunchbase.com/organization/boerse-stuttgart-digital-ventures-gmbh,1
Two Ravens,Two Ravens focuses on investing in pre-seed and early seed stage technology companies.,https://www.crunchbase.com/organization/two-ravens,0
XPRESS Ventures,XPRESS Ventures is a Berlin-based company builder focused on technology-driven ideas in the logistics industry.,https://www.crunchbase.com/organization/xpress-ventures,1
H.I. Capital,Venture Capital fund with strong network and support services,https://www.crunchbase.com/organization/h-i-capital,0
Haub Legacy Ventures,Family Office,https://www.crunchbase.com/organization/haub-legacy-ventures,0
3 Comma Capital,3 Comma Capital is an Investment firm.,https://www.crunchbase.com/organization/3-comma-capital,0
Kodori AG,Kodori AG is a private investment company investing in early stage mental health innovations and related industries,https://www.crunchbase.com/organization/kodori-ag,1
Partners in Clime,Partners in Clime backs green tech founders by providing capital and mentoring.,https://www.crunchbase.com/organization/partners-in-clime,1
Beaker DAO,Beaker DAO is a group that promotes the growth of decentralised science.,https://www.crunchbase.com/organization/beaker-dao,1
NRW.BANK,"NRW.Venture is a source of funding for new, innovative, and often technology-focused businesses that do not have easy access to loans.",https://www.crunchbase.com/organization/nrw-venture,0
Atlantic Ventures,Atlantic Ventures helps passionate people to launch their company.,https://www.crunchbase.com/organization/atlantic-ventures,0
Edition.VC,We back the world’s most iconic entrepreneurs of tomorrow. We have a passion for B2C and B2B products and out-of-the-box thinking.,https://www.crunchbase.com/organization/edition-vc,0
Greeneering Invest,Greeneering Invest is a venture capital investment firm.,https://www.crunchbase.com/organization/greeneering-invest,0
Emma Ventures,Emma Ventures is an investment firm.,https://www.crunchbase.com/organization/emma-ventures,0
Crealize,Crealize develops new business models and companies.,https://www.crunchbase.com/organization/crealize,0
SCE Freiraum Ventures,SCE Freiraum Ventures is a venture capital investor focused on early-stage startups,https://www.crunchbase.com/organization/sce-freiraum-ventures,0
Feast Ventrues,The new Nutrition Epitome's facilitation Scaling up investments in food and agriculture technology.,https://www.crunchbase.com/organization/feast-ventrues,1
BlackMars Capital,BlackMars Capital is a German investment firm that provides capital to fast-growing technology companies.,https://www.crunchbase.com/organization/blackmars-capital,0
CMPC Ventures,CMPC Ventures invest in entrepreneurship in an agile and determined way.,https://www.crunchbase.com/organization/cmpc-ventures,0
Possibilian Ventures,Possibilian Ventures backs transformative ventures at seed.,https://www.crunchbase.com/organization/possibilian-ventures,0
KRW Schindler,KRW Schindler is a private venture capital vehicle investing into global technology,https://www.crunchbase.com/organization/krw-schindler-private-ventures,0
STARTHUB VENTURES,"Our focus is on Pre-Seed investments. STARTHUB VENTURES supports the heroes of tomorrow, who are on their way from Zero to Hero.",https://www.crunchbase.com/organization/statrhub-ventures,0
Evalue,Evalue invests in global venture capital and private equity at all stages.,https://www.crunchbase.com/organization/evalue-the-2nd-evalue-fund,0
Hoepfner Brau,"Hoepfner Brau is a private equity and venture capital firm specializing in incubation, seed, startup, middle market.",https://www.crunchbase.com/organization/hoepfner-bräu,0
Superlyst Ventures,"Superlyst Ventures is a seed-stage investment collective, backed by an ecosystem of successful entrepreneurs.",https://www.crunchbase.com/organization/superlyst-ventures,0
Hauer Ventures,Backing European deep tech founders as the driving force of a better future for the entire planet.,https://www.crunchbase.com/organization/hauer-ventures,1
Delirus Capital,Delirus Capital helps to invset in consumer-focused businesses where it could draw on its branding and community-building experience.,https://www.crunchbase.com/organization/delirus-capital,1
Voxel Ventures,Early-Stage Micro VC focused on Digital Health,https://www.crunchbase.com/organization/voxel-ventures,1
Agritech Capital,Agritech Capital is a strategy and investment firm specializing in innovation and technology in the agribusiness sector.,https://www.crunchbase.com/organization/agritech-capital,1
P3A Ventures,"investment firm consisting of Jannes Fischer, Marc Stilke, Christian Gaiser and Jan Sprengnetter",https://www.crunchbase.com/organization/p3a-ventures,0
Langenberg Ventures,Langenberg Ventures is an innovative VC from region of Hanover in search of investments in digitally driven companies.,https://www.crunchbase.com/organization/langenberg-ventures,0
Family's Venture Capital,Family’s Venture Capital GmbH is a principal investment firm.,https://www.crunchbase.com/organization/familys-venture-capital,0
Cohors Fortuna Capital,Cohors Fortuna Capital (CFC) is an investment firm that invests in early-stage start-ups.,https://www.crunchbase.com/organization/cohors-fortuna-capital,0
H2 Investments,H2 Investments was added in 2013.,https://www.crunchbase.com/organization/h2-investments,0
SeedLink Ventures,SeedLink Ventures is a European Venture Capital firm investing in early stage digital health companies developing value based solutions,https://www.crunchbase.com/organization/seedlink-ventures,0
VC Fonds BW,VC Fonds Baden-Württemberg offers equity capital for innovative and high-growth companies in Baden-Württemberg.,https://www.crunchbase.com/organization/vc-fonds-bw,0
NFQ Ventures,NFQ Ventures is a Toronto-based venture capital firm that finances seed and early stage investments.,https://www.crunchbase.com/organization/nfq-ventures,0
MedTech Entrepreneurs (MTE),MedTech Entrepreneurs is a venture capital fund.,https://www.crunchbase.com/organization/medtech-entrepreneurs,0
Moonstone Capital,"Moonstone Capital is a capital placement advisor providing global fundraising, syndicated investments, and advisory services.",https://www.crunchbase.com/organization/moonstone-capital,0
nbr technology ventures,nbr technology ventures,https://www.crunchbase.com/organization/nbr-technology-ventures,0
GeMü Beteiligungs,GeMü Beteiligungs is a venture capital firm.,https://www.crunchbase.com/organization/gemü-beteiligungs,0
FinLab EOS VC,"FinLab EOS VC Fund is a partnership between Block.one and FinLab, an investor in financial services technologies and blockchain globally.",https://www.crunchbase.com/organization/finlab-eos-vc,1
Jindong Capital Investment,Jindong Capital Investment engaged in investment busniess.,https://www.crunchbase.com/organization/jindong-capital-investment,0
Danube Angels,Venture Capital und Private Equity,https://www.crunchbase.com/organization/danube-angels,0
Hyperion Invest,Hyperion Invest is an early-stage investor for startups who have the capability to change an industry.,https://www.crunchbase.com/organization/hyperion-invest,0
DCM Investment & Consulting,Seed Investor from Berlin,https://www.crunchbase.com/organization/dcm-investment-consulting,0
Rheinland-Pfalz Fonds,Rheinland-Pfalz Fonds was added in 2010.,https://www.crunchbase.com/organization/rheinland-pfalz-fonds,0
seedfeed,seedfeed is an early-stage seed investor and company builder to develop projects at the interface of new and old economy,https://www.crunchbase.com/organization/seedfeed-db46,1
Einstein Industries Ventures,Einstein Industries Ventures bridges financial gap of space startups.,https://www.crunchbase.com/organization/einstein-industries-ventures,1
Capmont Technology,Capmont Technology supports B2B technology entrepreneurs in late-seed to Series B stages.,https://www.crunchbase.com/organization/capmont-technology,0
Integra Fund,Integra Fund is an integrated platform for private equity investments.,https://www.crunchbase.com/organization/integra-fund,0
22 Ventures,A private investment firm focused on expanding access,https://www.crunchbase.com/organization/22-ventures,0
GIMIC Ventures,GIMIC Ventures is an investment firm.,https://www.crunchbase.com/organization/gimic-ventures,0
Atlas SGR,Atlas SGR is a venture capital fund investing in AI & Cybersecurity startups at pre-seed and seed stages,https://www.crunchbase.com/organization/atlas-sgr,0
MVP Factory,"We strive to empower digitisation through smart services, talent and technology and become Europe’s most respected product & venture builder",https://www.crunchbase.com/organization/mvp-factory,0
Convergence Partners AG,Convergence Partners is a venture capital investor focusing on the growth financing,https://www.crunchbase.com/organization/convergence-partners-ag,0
PAWAO Capital,PAWAO is an international venture network and next level investment vehicle for value creation and entrepreneurial growth.,https://www.crunchbase.com/organization/pawao,0
OMA Business Angels,Early stage b2b HW+SW tech investments from a well-oiled machine comprised of the eleven founding members of ProGlove.,https://www.crunchbase.com/organization/oma-business-angels,0
212 NexT,212 NexT is a venture capital fund investing in disruptive material technologies at the seed to Series B stage.,https://www.crunchbase.com/organization/212-next,1
SDAC Ventures,Backing teams at the frontier of tech,https://www.crunchbase.com/organization/bldrs,0
3e Capital Group,"3e Capital Group is an early stage venture capital group focusing on high growing, new technologies.",https://www.crunchbase.com/organization/3e-capital-group,0
Theia Blockchain,Theia Blockchain operates as an institutional asset manager that invests in EVM DeFi infrastructure assets.,https://www.crunchbase.com/organization/theia-blockchain,1
Oma Ventures,Oma Ventures primarily operates as an investment firm.,https://www.crunchbase.com/organization/oma-ventures,0
ennea capital partners,"ennea capital partners is an investment, M&A, and consulting company.",https://www.crunchbase.com/organization/ennea-capital-partners,0
ProfIT Ventures,ProfIt Ventures is an early-stage corporate venture fund platform that offers financial support for high-tech innovative start-ups.,https://www.crunchbase.com/organization/prof-it-ventures,0
