Organization Name,Description,Organization Name URL,B2B Binary
Neople,"AI, SaaS, Digital Employees",https://www.crunchbase.com/organization/neople-edf0,
Antennex,"RF, Test and Measurement Equipement,",https://www.crunchbase.com/organization/antennex,
EvidenceHunt,"EvidenceHunt is an AI-powered research platform that streamlines the process of gathering, analyzing and utilizing medical evidence.",https://www.crunchbase.com/organization/evidencehunt,
LearnWise AI,LearnWise AI helps students and faculty in higher education get instant support 24/7 with their own AI assistants,https://www.crunchbase.com/organization/learnwise-ai,
Scenexus,Scenexus is a startup that offers enterprise software for urban development.,https://www.crunchbase.com/organization/scenexus,
Brineworks,Brineworks' saltwater electrolyser's high-efficiency design allows for industry-leading CO2 extraction while also creating green hydrogen.,https://www.crunchbase.com/organization/brineworks,
Collie,"Collie is a technology tool that helps monitor health indicators, optimize pasture growth, and assist herd movement.",https://www.crunchbase.com/organization/collie-f82a,
BetSwap,Betswap is powered by the Ethereum layer 2 Polygon.,https://www.crunchbase.com/organization/betswap,
HealthSage AI,HealthSage AI is an open platform for generative AI in healthcare.,https://www.crunchbase.com/organization/healthsage-ai,
DemaTrading.ai,Rebalance Infrastructure For Digital Asset Institutions,https://www.crunchbase.com/organization/dematrading-ai,
Neoke,Neoke is a digital identity platform that uses technology to make travelling secure.,https://www.crunchbase.com/organization/neoke,
StablR,We offer DeFi Liquidity solutions that give easy access to fully backed digital assets for institutional investors worldwide.,https://www.crunchbase.com/organization/stablr,
Beyond Weather,Climate resilience by reliable weather forecasts weeks to months ahead,https://www.crunchbase.com/organization/beyond-weather,
Prets,"Prets offers embedded finance, enabling homeowners to invest in energy upgrades with personalized ROI insights and flexible financing.",https://www.crunchbase.com/organization/prêts,
Eddy Grid,Eddy Grid is a ambitious energy storage company offers sustainable energy sources.,https://www.crunchbase.com/organization/eddy-grid,
One Click Labs,One Click Labs is a blockchain development company that builds the next wave of web3 and DeFi products.,https://www.crunchbase.com/organization/one-click-crypto,
Authic Labs,"Authic Labs is a software solutions provider, specialized in a loyalty platform powered by Web3 technology",https://www.crunchbase.com/organization/authic-labs,
Haaven,"Platform, Marketplace, SaaS, Prefab, Architecture, ADUs",https://www.crunchbase.com/organization/haaven,
Ratio,"Ratio is a collateralized debt position protocol on Solana, it allows depositors to make a high yield on their assets.",https://www.crunchbase.com/organization/ratio-3c79,
Parkinnova Therapeutics,Parkinnova Therapeutics is dedicated to developing innovative and targeted therapies for Parkinson’s disease.,https://www.crunchbase.com/organization/parkinnova-therapeutics,
Engaige Technologies B.V.,"Building solutions for instant support, autonomously resolves tickets, and enhances customer experience while reducing costs by up to 40%",https://www.crunchbase.com/organization/engaige-technologies-b-v,
re:lock,Re-keying mesh: an ephemeral keys and credentials engine made for cloud-native and api-first companies.,https://www.crunchbase.com/organization/re-lock,
Tidalflow,Tidalflow is pioneering a GPS moment for physical health and provides fitness plans tailored to individual needs.,https://www.crunchbase.com/organization/tidalflow,
Shai,"Shai generates, visualizes and collaborates on creative ideas at a lightning speed with the latest technology.",https://www.crunchbase.com/organization/shai-fa8e,
Magpie,"Magpie is an AI-powered tool that helps users extract main points from websites, focusing on the most important information.",https://www.crunchbase.com/organization/magpie-0f95,
Engyon,Engyon is a firm that develops audit automation software.,https://www.crunchbase.com/organization/engyon,
Delphyr,"Health AI, LLM, MedTech",https://www.crunchbase.com/organization/delphyr,
mintBlue,We are on a mission to make the public blockchain as accessible as the public internet.,https://www.crunchbase.com/organization/mintblue,
Roboat,Roboat offers autonomy for inland waterway vessels.,https://www.crunchbase.com/organization/roboat,
THE HUB DAO,"Metaverse engine with Protocol and Platform. Aggregates data, powers tools for users to invest, build, and experience the Metaverse.",https://www.crunchbase.com/organization/the-hub-dao,
Brilliance,Brilliance develops micro laser modules for augmented reality displays.,https://www.crunchbase.com/organization/brilliance-acfd,
Fellos,"Fellos is an online healthcare platform for men, making qualitative and reliable healthcare accessible through technology.",https://www.crunchbase.com/organization/fellos,
Balthazar,"Balthazar is a SaaS measurement platform that bridges the gap between measurement design, software development and data management.",https://www.crunchbase.com/organization/balthazar-53ea,
Blanq,The first distributed-key hardware wallet,https://www.crunchbase.com/organization/blanq,
Cordys Analytics,Cordys Analytics focuses on detecting heart illness via electrocardiograms (ECGs) using AI-powered algorithms.,https://www.crunchbase.com/organization/cordys-analytics,
Meteory,Meteory is a cutting-edge SaaS firm that uses satellite data to monitor vital environmental changes.,https://www.crunchbase.com/organization/meteory,
IonIQs,IonIQs is committed to supporting industries in their journey towards sustainability.,https://www.crunchbase.com/organization/ioniqs,
IOTC Real Asset,Real Asset Investment & Development in Europe and Emerging markets,https://www.crunchbase.com/organization/iotc-real-asset,
Longform.ai,"Longform.ai generates business insights from vast quantities of audio, such as podcasts and webinars.",https://www.crunchbase.com/organization/longform-ai,
Getplace.io,B2B Saas; Getplace.io s a service that helps offline businesses to find the best locations for their new store.,https://www.crunchbase.com/organization/getplace-io,
GEHECO,GEHECO believes the energy shift requires actual physical instruments.,https://www.crunchbase.com/organization/geheco,
31Third,Decentralized asset management infrastructure radically optimizing trade execution and portfolio management in DeFi.,https://www.crunchbase.com/organization/31third,
BlockArt,BlockArt is the NFT protocol for creatives using the blockchain as material for data art.,https://www.crunchbase.com/organization/blockart,
D-Drops World,"Gaming, WEB3, Marketing",https://www.crunchbase.com/organization/d-drops-world,
Murasaki,Murasaki is a game and media studio that aims to create a new GameFi economy for the next generation of video games.,https://www.crunchbase.com/organization/murasaki,
Mystic Forge,"Mystic Forge is a india game publisher that focuses on strategy, simulation, and RPG games for PC.",https://www.crunchbase.com/organization/mystic-forge,
Datamonk,Datamonk is a developer of an artificial intelligence platform designed to manage data tasks.,https://www.crunchbase.com/organization/datamonk-482b,
Struck,Struck navigates building regulations at AI speed which saves time and cuts costs with AI assisted compliance.,https://www.crunchbase.com/organization/struck-1aa4,
StocksFC,StocksFC is the first football stock exchange based on blockchain technology.,https://www.crunchbase.com/organization/stocksfc,
Hypeal.com,Prime Memberships For E-Commerce Brands,https://www.crunchbase.com/organization/hypeal,
Nautilus OT/IoT Cybersecurity,Cyber security solution for OT/IoT environments,https://www.crunchbase.com/organization/nautilus-ot-iot-cybersecurity,
UpMarket,"The virtual concierge platform connecting vacation rental guests, property managers and local businesses",https://www.crunchbase.com/organization/upmarket-0191,
Flouria,Flouria is a digital wellbeing platform designed to support female employees through crucial life phases.,https://www.crunchbase.com/organization/flouria,
GINOA,GINOA is an information technology company that provides artificial intelligence solutions to enhance trading and investing strategy.,https://www.crunchbase.com/organization/ginoa,
EVyaan,"EVyaan provides a comprehensive platform for managing EV fleets, including analytics, home/public charging, and depot charge scheduling.",https://www.crunchbase.com/organization/evyaan,
InvestMind AI,Unlock personalized investment strategies powered by advanced AI technology for smarter decision-making.,https://www.crunchbase.com/organization/investmind-ai,
Getwheel,Getwheel is an operator of an AI-powered advertising platform intended to help businesses with marketing.,https://www.crunchbase.com/organization/getwheel,
Pandria,"Pandria provides a conversational performance management platform that unlocks instant, easy and fair feedback.",https://www.crunchbase.com/organization/pandria,
fusy.ai,Fusy.ai is engaged in the development of a product image generation platform catered specifically to eCommerce stores,https://www.crunchbase.com/organization/fusy-ai,
Birdt Health,Birdt Health is a mental health provider that develops a digital platform for more effective mental health treatment.,https://www.crunchbase.com/organization/birdt-health,
Kariz,Kariz is a multichannel automation platform that intends to automate workflows enabling businesses to save time.,https://www.crunchbase.com/organization/kariz,
Greybox,"Greybox offers a fast, user-friendly tool for 3D prototyping, making design accessible to everyone, regardless of skill level.",https://www.crunchbase.com/organization/greybox,
Hexwise,Hexwise improves energy efficiency and production by optimizing air-cooled heat exchanges.,https://www.crunchbase.com/organization/hexwise,
Increment Data,Increment Data develops a SaaS solution to assist data organizations.,https://www.crunchbase.com/organization/increment-data,
MetaGameHub DAO,MetaGameHub DAO building a user-focus homebase development and aggregation for an open metaverse experience.,https://www.crunchbase.com/organization/metagamehub-dao,
Biesbrouck Snoek & Smit B.V.,Realestate,https://www.crunchbase.com/organization/biesbrouck-snoek-smit-b-v,
Noctis,Noctis improves traditional threat intelligence by enhancing the ability to predict and analyze threats.,https://www.crunchbase.com/organization/noctis-2d71,
Envoy,Your favourite NFTs in one profile,https://www.crunchbase.com/organization/envoy-network,
PT Center,Personal Training Center,https://www.crunchbase.com/organization/pt-center,
Calmo,"Calmo is an AI tool that simplifies debugging, quickly finds issues, and offers clear solutions, reducing downtime and costs.",https://www.crunchbase.com/organization/calmo-c052,
Sora Energy,Sora Energy is a marketplace for eTruck charging that lowers costs for logistics operators.,https://www.crunchbase.com/organization/sora-energy,
Moonlit.ai,Moonlit is a legal knowledge platform designed to facilitate cross-border legal research and monitoring across the European Union.,https://www.crunchbase.com/organization/moonlit-ai,
Harmonix Finance,Harmonix Finance is a decentralized finance (DeFi) platform built on Ethereum.,https://www.crunchbase.com/organization/harmonix-finance,
Nestflow,"Fintech, Proptech, Financial Services",https://www.crunchbase.com/organization/nest-egg-europe-b-v,
Ayuvant,Ayuvant is a Biotechnology company engaged in the research and development of RNA-based immunotherapies for oncology patients.,https://www.crunchbase.com/organization/ayuvant,
Dembrane,"Dembrane is developing the newest generation of participation tools for communities, organizations, and governments.",https://www.crunchbase.com/organization/dembrane,
Trunkstar,"Trunkstar provides connectivity lifecycle management software that speeds up digital transformation, automates operations.",https://www.crunchbase.com/organization/trunkstar,
BAKENAI,Partner in bruikbare AI oplossingen en AI strategie voor het mkb,https://www.crunchbase.com/organization/bakenai,
Vi Health,Vi Health will keep track of how you feel mentally and physically.,https://www.crunchbase.com/organization/vi-health-cd42,
FanAnywhere,FanAnywhere is an NFT infrastructure company providing a domain agnostic no-code platform for brands.,https://www.crunchbase.com/organization/fananywhere,
Mair Therapeutics,Mair Therapeutics is pioneering therapies for Parkinson's disease.,https://www.crunchbase.com/organization/mair-therapeutics,
HomeZero,HomeZero provides white-label software and services to customers and installation businesses.,https://www.crunchbase.com/organization/homezero,
Sky Den Games,Sky Den Games aims to make sure you can commit all of your energy to providing an unmatched gaming experience.,https://www.crunchbase.com/organization/skyden-games,
OutdoorCompute,OutdoorCompute's liquid immersion cooling technology and outdoor Micro Data Centers (uDC).,https://www.crunchbase.com/organization/outdoorcompute,
NEKOD,"NEKOD is a platform designed for business automation, assisting enterprises in discovering, assessing, and governing applications.",https://www.crunchbase.com/organization/nekod,
Dynamicpixels,"PaaS,Video games,Back-end",https://www.crunchbase.com/organization/dynamicpixels,
50one,homeownership for first time homebuyers,https://www.crunchbase.com/organization/50one,
Esgrid,Esgrid provides value-chain sustainability management solutions to medium-sized businesses and financial institutions.,https://www.crunchbase.com/organization/esgrid,
Frankenburg Technologies,"Frankenburg Technologies aims to develop missile systems that are ten times more affordable, a hundred times faster to produce.",https://www.crunchbase.com/organization/frankenburg-technologies,
Salesforge,Salesforge is an all-in-one sales execution super app that gives every sales team the highest probability to hit their target.,https://www.crunchbase.com/organization/salesforge,
Striga,"Regulated payments infrastructure for custody, trading, banking and card issuing",https://www.crunchbase.com/organization/striga,
Cookie3,Behavioral analytics of the entire Metaverse & Web3.,https://www.crunchbase.com/organization/cookie3,
Utorg,Utorg is a fintech company that offers а modern on/off-ramp and web3 consumer infrastructure to deliver a unique user experience.,https://www.crunchbase.com/organization/utorg,
M-FLY,"M-FLY develops gimbals for unmanned systems, supporting aerospace and defense with effective aerial surveillance solutions.",https://www.crunchbase.com/organization/m-fly,
Fleetbrains,"We transform fleet sales and stock management with cutting-edge AI, enabling optimized stock, maximized margins, and accelerate turnovers.",https://www.crunchbase.com/organization/fleetbrains,
Primex Finance,"Decentralized Prime Brokerage that connects lenders, traders and market makers.",https://www.crunchbase.com/organization/primex-finance,
Minterest,Dollar for dollar Minterest delivers the highest long-term yields in DeFi.,https://www.crunchbase.com/organization/minterest-05e3,
StakeWise,StakeWise is an open-source protocol for capital-efficient staking on Ethereum 2.0.,https://www.crunchbase.com/organization/stakewise,
Swipelux,"Swipelux enables fast, secure fiat-to-crypto payments for businesses with global reach, instant settlements & easy integration.",https://www.crunchbase.com/organization/swipelux,
Raison,"Raison is an international investment group of companies offering venture deals, asset management, structured notes, etc.",https://www.crunchbase.com/organization/raison-bb3a,
Creem,"https://www.creem.io provides SaaS, Indie Hackers and Micro-SaaS with instant financial tools and functionality as a Merchant of Record.",https://www.crunchbase.com/organization/creem,
Askel.ai,Askel.ai elevates SaaS with embedded AI automation.,https://www.crunchbase.com/organization/askel-ai,
QANplatform,QANplatform is the Quantum-resistant hybrid blockchain platform. Build your software applications like DApps or Defi and run business processes on blockchain in 5 minutes with QANplatform.,https://www.crunchbase.com/organization/qanplatform-qan-blockchain-platform,
Flowstep,Flowstep is a copilot tool designed to help users create better designs.,https://www.crunchbase.com/organization/flowstep-2269,
MyCointainer,A staking service platform,https://www.crunchbase.com/organization/mycointainer,
Solid World,Solid World is derisking climate financing by offering diversified ways to finance carbon projects.,https://www.crunchbase.com/organization/solid-world-dao,
IQ Labs,IQ Labs coordinates the decentralized development of novel frameworks and protocols in the DeFi space.,https://www.crunchbase.com/organization/iq-labs-288f,
PlasmaPay,PlasmaPay is a crypto/fiat payment system and fintech platform for new financial services,https://www.crunchbase.com/organization/plasmapay,
Kriptomat,"Buy, Trade, and Invest in Crypto",https://www.crunchbase.com/organization/kriptomat,
Polkadex,The trading engine for Web3 and DeFi,https://www.crunchbase.com/organization/polkadex,
Glitter Finance,Glitter Finance is a platform addressing current capital inefficiency in decentralized finance.,https://www.crunchbase.com/organization/glitter-finance,
Gamer Arena,Gamer Arena is a software company that offers an AI gaming platform with mobile apps and a Web 3.0 platform.,https://www.crunchbase.com/organization/gamer-arena,
Legends of Elysium,Free-to-Play fusion of Digital Trading Card and Board Game with no entry barrier,https://www.crunchbase.com/organization/legends-of-elysium,
enzum,Industrial energy storage performance and longevity enhancement through AI-powered management solutions,https://www.crunchbase.com/organization/enzum,
AutoLayer,AutoLayer is a Liquid Restaking Tokens (LRT) Finance application.,https://www.crunchbase.com/organization/autolayer,
Alium Finance,Multi-chain DEX with Hybrid Liquidity and Cross-chain Features,https://www.crunchbase.com/organization/alium-finance,
OBORTECH,All-in-one simple solution to enable digitized & traceable supply chain underpinned by blockchain & IoT(DePIN). Deck: https://bit.ly/3UiOoLx,https://www.crunchbase.com/organization/obortech,
Glassity,Glassity is a Cloud Governance Platform offering comprehensive visibility into cloud operations and automation,https://www.crunchbase.com/organization/glassity,
DEIP,The first Web 3.0 protocol for tokenization and governance of any intangible assets.,https://www.crunchbase.com/organization/deip,
Star Heroes,Star Heroes is a skill-based multiplayer TPS game platform that aims to provide players with a next-gen solution for blockchain gaming.,https://www.crunchbase.com/organization/star-heroes,
Redcurry,Redcurry is a digital currency company backed by commercial real estate.,https://www.crunchbase.com/organization/redcurry,
TELETACTICA,"Innovating tomorrow's communication, today",https://www.crunchbase.com/organization/teletactica,
spacebrains,Spacebrains is a platform that connects businesses with engineers specializing in non-digital product development.,https://www.crunchbase.com/organization/spacebrains,
Chimeras,Chimeras is a thrilling mobile game. It is a free-to-play and play-and-earn game with the integrated DEFI farming and NFTs.,https://www.crunchbase.com/organization/chimeras,
SKYCORP Technologies,SKYCORP Technologies is a company that designs and manufactures hydrogen drones and accompanying infrastructure.,https://www.crunchbase.com/organization/skycorp-technologies,
APXD,"Game, Mobile App, Blockchain, Clean Tech, Natural Capital, AI, Education, Entertainment, Edutainment",https://www.crunchbase.com/organization/apxd,
Crypto Fight Club,Crypto Fight Club (CFC) is a new NFT-enabled game that allows players to battle one another or compete in championships.,https://www.crunchbase.com/organization/crypto-fight-club,
Zero-Code,The Ultimate Web3 Launchpad Designed for Brands,https://www.crunchbase.com/organization/zero-code,
SMPLR,"Financial Analytics, Managerial Accounting and Reporting Platform For Web3 Companies",https://www.crunchbase.com/organization/smplr,
DLTPAY,DLTPAY is a software company that designs a decentralized non-custodial platform for Web3 and stablecoin payments.,https://www.crunchbase.com/organization/dlt-payments,
Relite Finance,Relite Finance provides decentralised cross-chain lending protocol.,https://www.crunchbase.com/organization/relite-finance,
Applehead,Applehead is a revolutionary token creating real-world impact,https://www.crunchbase.com/organization/applehead,
Black Insurance,Black Insurance is a blockchain-based digital insurance company .,https://www.crunchbase.com/organization/black-insurance,
Ziv4 Technology,Ziv4 Technology is an artificial intelligence algorithm-focused financial technology startup.,https://www.crunchbase.com/organization/ziv4-technology-321b,
Emphy,Emphy is decentralized blockchain lodging ecosystem. ,https://www.crunchbase.com/organization/emphy,
Wert,"Wert offers a top-up module, that can be integrated to any website or mobile app and enables seamless purchasing of crypto.",https://www.crunchbase.com/organization/wert,
Cover Compared,Cover Compared is a platform that offers crypto and insurance products to the crypto market.,https://www.crunchbase.com/organization/cover-compared,
Topos Network,The Borderless Bank of Migrants,https://www.crunchbase.com/organization/topos-network,
Prfct network,Prfct network is a lightweight blockchain built on native web technologies.,https://www.crunchbase.com/organization/prfct-network,
Bob Makler,Bob Makler is an AI-powered mobile property search engine to help renters and landlords find good matches and support.,https://www.crunchbase.com/organization/bob-makler,
TrustLynx,TrustLynx was founded during game-changing projects in which they assisted organizations in their digitalization and innovation activities.,https://www.crunchbase.com/organization/trustlynx,
D/Bond,A blockchain platform empowering the creation and trading of decentralised bonds and derivatives.,https://www.crunchbase.com/organization/debond-protocol,
Treejer Protocol,Connecting Donors to Local Forest Planters Worldwide,https://www.crunchbase.com/organization/treejer,
Cardalonia,"Cardalonia is a virtual world where players can build, own and customize their own experiences on the Cardano Blockchain.",https://www.crunchbase.com/organization/cardalonia,
Ejaw,"Ejaw is a game developer supporting mobile, console, desktop and virtual reality platforms.",https://www.crunchbase.com/organization/ejaw,
Prevego,Prevego provides solutions for brands and people to engage with their audience in the most engaging way possible via giveaways.,https://www.crunchbase.com/organization/prevego,
Vespia,Vespia is a tool for verifying and onboarding legal entities that helps companies minimize business risk using AI.,https://www.crunchbase.com/organization/vespia,
Ovoro,"Automated cryptocurrency investment tool.Simple, transparent and accessible.",https://www.crunchbase.com/organization/ovoro,
Piggymind,Platform for systematic investments into cryptocurrency.,https://www.crunchbase.com/organization/piggymind,
OMNIA Protocol,"OMNIA Protocol provides secure, private blockchain access with high availability RPC endpoints.",https://www.crunchbase.com/organization/omnia-protocol,
Tradelize,Tradelize is an investment network that is building a highway between truly talented professionals and retail investors.,https://www.crunchbase.com/organization/tradelize,
Align,Customer feedback intelligence for B2B product teams,https://www.crunchbase.com/organization/align-252d,
Viacurrent,Viacurrent is an e-service provider through which employers can provide financial well-being to their employees.,https://www.crunchbase.com/organization/viacurrent,
Lendurai,Lendurai provides solutions to enable UAVs to operate without satellite navigation or remote control.,https://www.crunchbase.com/organization/lendurai,
Planet Inverse,Planet Inverse provides an online blockchain and crypto-trading platform for trading XIV tokens and earning annual rewards.,https://www.crunchbase.com/organization/planet-inverse,
Brightpool Finance,Brightpool Finance is a decentralized exchange in the world that pays users for placing orders.,https://www.crunchbase.com/organization/brightpool-finance,
Uplift,"Uplift IDO platform finds, funds, grows and develops fast growing projects in the Uplift ecosystem.",https://www.crunchbase.com/organization/uplift-io,
GEO Protocol,Decentralized p2p protocol for values exchange,https://www.crunchbase.com/organization/geo-protocol,
Luzia,Luzia is a developer of an AI powered personal assistant designed to help in every day life.,https://www.crunchbase.com/organization/lightia,
Brickken,"Token Suite. Create, sell, and manage digital assets. Tokenization of Real World Assets (RWAs).",https://www.crunchbase.com/organization/brickken,
Acoru,Acoru is a cybersecurity company that develops an AI-driven platform that focuses on proactive fraud and scam prevention.,https://www.crunchbase.com/organization/acoru,
Bcas,Bcas is a Madrid based fintech unlocking access to quality education through student finance for students from all backgrounds.,https://www.crunchbase.com/organization/bcas-8af8,
MiMARK,MiMARK focuses on improving the accuracy and efficiency of diagnostics for endometrial cancer.,https://www.crunchbase.com/organization/mimark,
Embat,"Embat automates treasury with AI for accounting, payments, and cash forecasting.",https://www.crunchbase.com/organization/embat,
Oniria Therapeutics,Onira Therapeutics is modifying cell dormancy to fight the persistence of cancer.,https://www.crunchbase.com/organization/oniria-therapeutics,
ONUM,"Gain control of your data with real-time observations, filtering, enrichment, and orchestration.",https://www.crunchbase.com/organization/signalit,
Nuage Therapeutics,Nuage Therapeutics engages in developing drugs which target proteins in disordered regions for challenging indications faced by patients.,https://www.crunchbase.com/organization/nuage-therapeutics,
Cafler,Cafler is a service platform that provides service for anything a car needs.,https://www.crunchbase.com/organization/cafler,
Basquevolt,"Basquevolt is a developer of solid-state lithium batteries for electric vehicles, heavy transport, renewable energy, and electronic devices.",https://www.crunchbase.com/organization/basquevolt,
PandaGo,B2B sustainable mobility platform,https://www.crunchbase.com/organization/pandago,
Planteka,"Planteka helps you take better care of your plants, through botanical workshops, courses, plant care services and video consultations.",https://www.crunchbase.com/organization/planteka,
Genesy AI,AI-powered B2B Lead Generation Software,https://www.crunchbase.com/organization/genesy-ai,
Supercubo,Supercubo build functional trainning facilities within re-use shipping containers and franchise them across Spain.,https://www.crunchbase.com/organization/supercubo,
REVER,REVER is a financial service company that develops technologies designed to create a new category in the e-commerce space.,https://www.crunchbase.com/organization/rever-3d13,
SolarMente,SolarMente installs and finances solar rooftops in Spain,https://www.crunchbase.com/organization/solarmente,
Alinia AI,Alinia AI is an alignment platform that allows enterprises to implement generative AI in a safe and controlled manner.,https://www.crunchbase.com/organization/alinia-ai,
Shakers,Shakers allows companies to work with entire teams of freelancers.,https://www.crunchbase.com/organization/shakers,
Nido,Nido provides heat pump installation in the residential sector.,https://www.crunchbase.com/organization/nido-120e,
Crescenta,The relevant investment for your future,https://www.crunchbase.com/organization/crescenta,
Dealcar,The Automotive Vertical SaaS That Enables a Fully Digital Used Car Transaction,https://www.crunchbase.com/organization/dealcar,
Correcto.,"Correcto enhances language, spelling, and provides real-time solutions through artificial intelligence and machine learning.",https://www.crunchbase.com/organization/correcto,
MANSA,MANSA builds the infrastructure that powers the next evolution of global payments.,https://www.crunchbase.com/organization/mansa-48aa,
VIVLA,"Vivla offers second homeownership by helping people buy, own, and sell the fractions of the second home that fits their life.",https://www.crunchbase.com/organization/vivla,
Aldara,"Hapax Labs is a HOA manager that specializes in combining technology and operations, offering real-time information.",https://www.crunchbase.com/organization/aldara,
Samara,Samara is a solar energy company that helps households transition to a more sustainable energy model.,https://www.crunchbase.com/organization/samara-319e,
Nolus,Nolus is an interoperable application on Cosmos.,https://www.crunchbase.com/organization/nolus,
Reveni,Reveni is an instant refund platform for e-commerce that prevents fraud in returns and delivers instant refunds to customers .,https://www.crunchbase.com/organization/reveni,
Ealyx,Ealyx is a B2B SaaS for e-commerce that enables consumers to pay for new purchases with used items.,https://www.crunchbase.com/organization/ealyx,
Biorce,Biorce is an innovating medtech startup committed to transforming drug development through the use of artificial intelligence.,https://www.crunchbase.com/organization/biorce,
Zynap,Zynap automate cybersecurity with intelligence designed to outsmart the cybercrime.,https://www.crunchbase.com/organization/zynap-6e3f,
Seenapse,Seenapse is the most creative AI copilot for brainstorming and ideation.,https://www.crunchbase.com/organization/seenapse,
Nestcoin,"Nestcoin is a web3 application company that builds, operates, and invests in crypto-native products.",https://www.crunchbase.com/organization/nestcoin,
Piper,"Piper is an AI-based software tool that offers CRM data to keep flawless records of customer interactions, and relations.",https://www.crunchbase.com/organization/piper-1cb3,
Remuner,"Remuner's variable pay software automates sales commission systems, aligning company and employee goals and incentives.",https://www.crunchbase.com/organization/remuner,
Embed,"Embed protocol is a community engine that discovers, tokenizes, and activates communities in the metaverse",https://www.crunchbase.com/organization/embed-9c37,
Atani,"Atani is the one-stop crypto trading platform: trading on 20+ exchanges, integrates technical analysis tools and automates tax reporting.",https://www.crunchbase.com/organization/atani,
CareerOS,"CareerOS is a Career Execution Platform that allows you to plan, manage, and execute your career search from one place.",https://www.crunchbase.com/organization/careeros,
Habitacion.com,Habitacion.com provides a new way of saving and investing through the purchase of rooms as a sensible alternative to renting.,https://www.crunchbase.com/organization/habitacion-com,
Fence,Building internet native debt capital markets,https://www.crunchbase.com/organization/fence,
ZKX,ZKX is a permissionless protocol for derivatives built on StarkNet.,https://www.crunchbase.com/organization/zkx,
Blowfish,Blowfish detects and prevents fraud before any fraud occurs.,https://www.crunchbase.com/organization/blowfish-6471,
Freeverse.io,Living Assets: NFT 2.0. Evolving - Scalable - Multicurrency - Sustainable - Certifiable.,https://www.crunchbase.com/organization/freeverse-io,
Zylon,"The truly Private AI platform for the Enterprise that runs fully on-premise, ensuring data sovereignty and cost control",https://www.crunchbase.com/organization/zylon-919e,
Games for a living,Games for a Living is a blockchain video game developer.,https://www.crunchbase.com/organization/games-for-a-living,
Genie,Genie builds low/no-code tools for quickly creating and deploying data apps.,https://www.crunchbase.com/organization/genie-3568,
Rauda AI,Scale your customer service with artificial intelligence,https://www.crunchbase.com/organization/rauda-ai,
Life5,Life5 is an insurance company that offers life insurance services.,https://www.crunchbase.com/organization/getlife,
Workfully,"Workfully is a human resource e agency that prices employment, recruitment and upskillng services for candidates and companies.",https://www.crunchbase.com/organization/workfully,
Quasar Labs,"Quasar Labs brings permissionless, non-custodial asset management to DeFi using IBC.",https://www.crunchbase.com/organization/quasar-labs,
Clevergy,We unlock energy insights to everyone through energy retailers,https://www.crunchbase.com/organization/clevergy-bf0b,
Pack,HR-Tech platform to foster people growth with data-driven mentoring & coaching and increase employees' retention,https://www.crunchbase.com/organization/pack-9638,
Accountable,Accountable is developing a data platform focused on privacy that allows for real-time verification of borrowers' assets.,https://www.crunchbase.com/organization/accountable-7775,
The Blue Box Biomedical Solutions,"Pain-free, low-cost, radiation-free detect breast cancer urine test, with a sensitivity of 83%.",https://www.crunchbase.com/organization/the-blue-box-biomedical-solutions,
Kreios Space,Kreios Space is a startup that develops an innovative electric propulsion system for satellites.,https://www.crunchbase.com/organization/kreios-space,
Tennders,The best balance between technology and people to create efficient supply chains.,https://www.crunchbase.com/organization/tennders,
Xygeni,Secure your Software Development and Delivery,https://www.crunchbase.com/organization/xygeni,
Deale,Easy-to-use marketplace to help SMEs connect with investors and/or advisors. Connect easily. Do business.,https://www.crunchbase.com/organization/deale,
hello.app,Decentralized Super App,https://www.crunchbase.com/organization/hello-8ffd,
XRF.ai,"XRF.ai provides critical help to decision-makers in challenging scenarios for the military, security, and emergency industries.",https://www.crunchbase.com/organization/the-singular-social-games,
Openfort,Openfort provides Web3 gaming studios and gaming platforms with the ability to create an account.,https://www.crunchbase.com/organization/openfort,
Imageryst,Imageryst is a cutting-edge SaaS platform.,https://www.crunchbase.com/organization/imageryst,
LEXY,"The platform for content creation. AI copy generator, creativity editor and publishing tools for content creators.",https://www.crunchbase.com/organization/lexy-4acf,
Plastiks,"Plastiks uses blockchain to verify and track plastic recovery data, ensuring transparency and combating greenwashing in recycling.",https://www.crunchbase.com/organization/nozama-green,
Vitaance,Personalized employee benefits platform that helps companies optimize spend and maximize the impact of their wellbeing program,https://www.crunchbase.com/organization/vitaance,
Voltz Labs,Voltz Labs is a defi primitive that empowers leveraged interest rate swaps.,https://www.crunchbase.com/organization/voltz-labs,
YPLASMA,"YPlasma, an INTA spin-off, develops plasma actuators for ionic flow control, enabling advancements in Energy and Electronics.",https://www.crunchbase.com/organization/yplasma,
Viterbit,Viterbit develops a multi-channel recruitment platform driven by AI.,https://www.crunchbase.com/organization/viterbit,
Satoshis Games SL,"We provide game tech for true ownership of digital assets, verifiable scarcity, and integrated secondary markets are the future of games.",https://www.crunchbase.com/organization/satoshi-s-games,
Simplr - Life as a service,"Powering the circular economy. All-in-one platform for businesses that offers the most cost-efficient, convenient, and sustainable solutions",https://www.crunchbase.com/organization/simplr-life-as-a-service,
Flipflow,SAAS BI Platform developing the most advanced retail market analytics and real-time data monitoring and intellligence software.,https://www.crunchbase.com/organization/flipflow,
